./traincascade/todos/p_barh_1.jpeg 1 79 27 206 330
./traincascade/todos/p_barh_10.jpeg 1 110 114 221 346
./traincascade/todos/p_barh_11.jpeg 1 50 51 143 245
./traincascade/todos/p_barh_12.jpeg 1 69 132 68 107
./traincascade/todos/p_barh_13.jpeg 1 39 106 108 167
./traincascade/todos/p_barh_14.jpeg 1 114 161 58 83
./traincascade/todos/p_barh_15.jpeg 1 97 119 82 135
./traincascade/todos/p_barh_16.jpeg 1 152 145 109 164
./traincascade/todos/p_barh_17.jpeg 1 61 112 90 137
./traincascade/todos/p_barh_18.jpeg 1 78 123 75 105
./traincascade/todos/p_barh_2.jpeg 1 114 40 257 408
./traincascade/todos/p_barh_3.jpeg 1 132 127 247 382
./traincascade/todos/p_barh_4.jpeg 1 26 17 141 202
./traincascade/todos/p_barh_5.jpeg 1 150 89 430 637
./traincascade/todos/p_barh_6.jpeg 1 105 35 235 336
./traincascade/todos/p_barh_7.jpeg 1 120 217 106 182
./traincascade/todos/p_barh_8.jpeg 1 235 271 309 464
./traincascade/todos/p_barh_9.jpeg 1 60 79 175 276
./traincascade/todos/p_bia_1.jpeg 1 55 129 103 163
./traincascade/todos/p_bia_10.jpeg 1 299 112 159 257
./traincascade/todos/p_bia_11.jpeg 1 184 79 30 41
./traincascade/todos/p_bia_2.jpeg 1 150 419 65 93
./traincascade/todos/p_bia_3.jpeg 1 307 361 137 235
./traincascade/todos/p_bia_4.jpeg 1 207 387 73 104
./traincascade/todos/p_bia_5.jpeg 1 129 399 99 147
./traincascade/todos/p_bia_6.jpeg 1 46 172 104 164
./traincascade/todos/p_bia_7.jpeg 1 169 322 61 96
./traincascade/todos/p_bia_8.jpeg 1 57 226 89 169
./traincascade/todos/p_bia_9.jpeg 1 188 523 63 80
./traincascade/todos/p_jayr_1.jpeg 1 124 183 209 340
./traincascade/todos/p_jayr_10.jpeg 1 88 176 284 419
./traincascade/todos/p_jayr_11.jpeg 1 230 312 158 255
./traincascade/todos/p_jayr_12.jpeg 1 138 198 195 302
./traincascade/todos/p_jayr_13.jpeg 1 229 309 165 254
./traincascade/todos/p_jayr_14.jpeg 1 93 102 308 482
./traincascade/todos/p_jayr_15.jpeg 1 68 89 343 524
./traincascade/todos/p_jayr_16.jpeg 1 218 293 171 271
./traincascade/todos/p_jayr_17.jpeg 1 67 80 342 524
./traincascade/todos/p_jayr_18.jpeg 1 145 199 192 302
./traincascade/todos/p_jayr_19.jpeg 1 157 206 185 288
./traincascade/todos/p_jayr_2.jpeg 1 68 122 307 477
./traincascade/todos/p_jayr_20.jpeg 1 149 200 184 292
./traincascade/todos/p_jayr_21.jpeg 1 57 84 347 497
./traincascade/todos/p_jayr_22.jpeg 1 37 78 355 497
./traincascade/todos/p_jayr_23.jpeg 1 30 83 345 501
./traincascade/todos/p_jayr_24.jpeg 1 112 169 211 307
./traincascade/todos/p_jayr_25.jpeg 1 114 179 210 306
./traincascade/todos/p_jayr_26.jpeg 1 159 221 284 408
./traincascade/todos/p_jayr_27.jpeg 1 215 282 169 240
./traincascade/todos/p_jayr_28.jpeg 1 212 279 173 243
./traincascade/todos/p_jayr_29.jpeg 1 213 281 168 238
./traincascade/todos/p_jayr_3.jpeg 1 78 119 300 483
./traincascade/todos/p_jayr_30.jpeg 1 216 292 158 239
./traincascade/todos/p_jayr_4.jpeg 1 66 123 298 451
./traincascade/todos/p_jayr_5.jpeg 1 192 253 128 206
./traincascade/todos/p_jayr_6.jpeg 1 73 112 297 465
./traincascade/todos/p_jayr_7.jpeg 1 63 125 298 456
./traincascade/todos/p_jayr_8.jpeg 1 235 308 161 258
./traincascade/todos/p_jayr_9.jpeg 1 124 196 218 325
./traincascade/todos/p_luana_1.jpeg 1 68 127 243 411
./traincascade/todos/p_luana_10.jpeg 1 76 193 229 371
./traincascade/todos/p_luana_11.jpeg 1 93 145 27 44
./traincascade/todos/p_luana_12.jpeg 1 276 345 121 188
./traincascade/todos/p_luana_2.jpeg 1 41 103 280 430
./traincascade/todos/p_luana_3.jpeg 1 19 92 297 439
./traincascade/todos/p_luana_4.jpeg 1 54 177 242 377
./traincascade/todos/p_luana_5.jpeg 1 15 69 296 460
./traincascade/todos/p_luana_6.jpeg 1 35 126 284 426
./traincascade/todos/p_luana_7.jpeg 1 28 111 292 456
./traincascade/todos/p_luana_8.jpeg 1 27 53 300 486
./traincascade/todos/p_luana_9.jpeg 1 68 210 185 301
./traincascade/todos/p_apica_1.jpeg 1 81 217 114 179
./traincascade/todos/p_apica_10.jpeg 1 83 164 152 201
./traincascade/todos/p_apica_11.jpeg 1 102 168 137 244
./traincascade/todos/p_apica_12.jpeg 1 75 228 116 173
./traincascade/todos/p_apica_13.jpeg 1 99 241 111 147
